Company,Title,Salary,ID,URL
Công ty TNHH Đầu tư và Phát triển Công nghệ Tương Lai,CTO (khối Logistic),1.000 - 2.000|USD,1340,https://careerbuilder.vn/vi/tim-viec-lam/cto-khoi-logistic.35ACCE1A.html
ZALORA Group,"05 Software Engineers (PHP, Java,Python)","1,000 - 2,000 USD",1343,https://itviec.com/it-jobs/05-software-engineers-php-java-python-zalora-group-5954
Autonomous,"AI Engineer (Deep Learning, Tensorflow)",Thương lượng,1342,https://itviec.com/it-jobs/ai-engineer-deep-learning-tensorflow-autonomous-0217
Công ty TNHH Đầu tư và Phát triển Công nghệ Tương Lai,CTO (khối Logistic),1.000 - 2.000|USD,1340,https://careerbuilder.vn/vi/tim-viec-lam/cto-khoi-logistic.35ACCE1A.html
Terralogic,Python Auto QC,Thương lượng,1341,https://itviec.com/it-jobs/python-auto-qc-terralogic-0932
Leo Burnett Vietnam,Digital Producer / Project Manager,Thương lượng,1338,https://itviec.com/it-jobs/digital-producer-project-manager-leo-burnett-vietnam-4833
Viettel Cyberspace Center,20 Java Back-end Developers (Python/SQL),"800 - 1,500 USD",1339,https://itviec.com/it-jobs/20-java-back-end-developers-python-sql-viettel-cyberspace-center-3456
Giao Hàng Nhanh (GHN),"Tech Lead (Java, Python, Nodejs)",From $2000 to $2500,1335,https://itviec.com/it-jobs/tech-lead-java-python-nodejs-giao-hang-nhanh-ghn-3945
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Devops Engineer (Lập Trình Hệ Thống),"12,000,000 - 15,000,000|VND",1333,https://careerbuilder.vn/vi/tim-viec-lam/devops-engineer-lap-trinh-he-thong.35ACC994.html
Gumi Vietnam,"Devops Engineer(Git,Linux/Unix OS)",Thương lượng,1334,https://itviec.com/it-jobs/devops-engineer-git-linux-unix-os-gumi-vietnam-5615
OLLI,Junior Web Developer (PHP/Python/NodeJS),Thương lượng,1337,https://itviec.com/it-jobs/junior-web-developer-php-python-nodejs-olli-1331
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Data Scientist,800 - 1.200|USD,1332,https://careerbuilder.vn/vi/tim-viec-lam/data-scientist.35ACC99E.html
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",1330,https://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35ACC955.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Data Engineer,800 - 1.200|USD,1331,https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35ACC9B3.html
OLLI,SE - Machine Learning (Python/C++/Java),Thương lượng,1336,https://itviec.com/it-jobs/se-machine-learning-python-c-java-olli-0919
Công ty TNHH Thương Mại và Dịch Vụ CO,Senior Backend Developer (Python) ~1200$,"700 - 1,200 USD",1329,https://itviec.com/it-jobs/senior-backend-developer-python-1200-cong-ty-tnhh-thuong-mai-va-dich-vu-co-0943
